Provinsi,2018,2019,2020,2021,2022,2023
ACEH,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
SUMATERA UTARA,Sedang,Sedang,Sedang,Sedang,Tinggi,Tinggi
SUMATERA BARAT,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
RIAU,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
JAMBI,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
SUMATERA SELATAN,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
BENGKULU,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
LAMPUNG,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
KEP. BANGKA BELITUNG,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
KEP. RIAU,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
DKI JAKARTA,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
JAWA BARAT,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Tinggi
JAWA TENGAH,Tinggi,Sedang,Sedang,Tinggi,Tinggi,Tinggi
DI YOGYAKARTA,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
JAWA TIMUR,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi
BANTEN,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
BALI,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
NUSA TENGGARA BARAT,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
NUSA TENGGARA TIMUR,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
KALIMANTAN BARAT,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
KALIMANTAN TENGAH,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
KALIMANTAN SELATAN,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
KALIMANTAN TIMUR,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
KALIMANTAN UTARA,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
SULAWESI UTARA,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
SULAWESI TENGAH,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
SULAWESI SELATAN,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
SULAWESI TENGGARA,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
GORONTALO,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
SULAWESI BARAT,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
MALUKU,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
MALUKU UTARA,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
PAPUA BARAT,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
PAPUA BARAT DAYA,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
PAPUA,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
PAPUA SELATAN,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
PAPUA TENGAH,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
PAPUA PEGUNUNGAN,Sedang,Sedang,Sedang,Sedang,Rendah,Rendah
